runId,startedAtUtc,startedAtParis,finishedAtUtc,status,error,network,cycleType,model,strategyVersion,configPreset,marketSnapshotId,llmQueryId
1fa171ce-b225-41e3-9aae-609a16080ecb,2026-05-26T09:39:00.543Z,2026-05-26 11:39:00,2026-05-26T09:39:00.802Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1875,
4c69ec9c-5c97-4287-8d83-9fa94325af5c,2026-05-26T09:41:29.725Z,2026-05-26 11:41:29,2026-05-26T09:41:29.980Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1876,
74ba4416-1562-488a-8755-e9b524318fb4,2026-05-26T09:44:00.549Z,2026-05-26 11:44:00,2026-05-26T09:44:00.844Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1877,
e1ae000a-ceaf-4173-a031-b5a3e41ac330,2026-05-26T09:46:29.688Z,2026-05-26 11:46:29,2026-05-26T09:46:30.031Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1878,
79385b89-64a6-4460-8ebc-96f347d82531,2026-05-26T09:48:59.507Z,2026-05-26 11:48:59,2026-05-26T09:48:59.765Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1879,
d0cdeea7-0f64-4b51-b250-16cc93332834,2026-05-26T09:51:29.843Z,2026-05-26 11:51:29,2026-05-26T09:51:30.096Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1880,
b63d4f90-2056-4450-81a3-db8363bc4038,2026-05-26T09:53:59.918Z,2026-05-26 11:53:59,2026-05-26T09:54:00.405Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1881,
4fd9bac2-4c91-4bfe-87d1-18498b564885,2026-05-26T09:56:30.142Z,2026-05-26 11:56:30,2026-05-26T09:56:30.405Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1882,
3a5b3964-99ae-4f9b-9051-eeb7dcb4d1cc,2026-05-26T09:59:00.031Z,2026-05-26 11:59:00,2026-05-26T09:59:00.350Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1883,
50a73789-2dea-4db3-8d57-bdb8be826e09,2026-05-26T10:01:30.261Z,2026-05-26 12:01:30,2026-05-26T10:01:30.513Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1884,
51f434f1-b5d2-450a-80f2-f9fc46473099,2026-05-26T10:04:00.146Z,2026-05-26 12:04:00,2026-05-26T10:04:00.405Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1885,
